DateKey,Year,Month,MonthName,Day,Decade,Semester,Season,Quarter,Weekday,WeekdayName,Local_time,Hour,Minutes
0,1900,Unknown,Unknown,Unknown,1900s,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
1,1902,4,April,18,1900s,1st Semester,Spring,2nd Quarter,6,Friday,20:20,20,20
2,1902,4,April,8,1900s,1st Semester,Spring,2nd Quarter,3,Tuesday,Unknown,Unknown,Unknown
3,1902,10,October,24,1900s,2nd Semester,Fall,4th Quarter,6,Friday,Unknown,Unknown,Unknown
4,1903,4,April,29,1900s,1st Semester,Spring,2nd Quarter,4,Wednesday,Unknown,Unknown,Unknown
5,1903,Unknown,Unknown,Unknown,1900s,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
6,1904,11,November,Unknown,1900s,2nd Semester,Unknown,4th Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
7,1905,8,August,13,1900s,2nd Semester,Summer,3rd Quarter,1,Sunday,Unknown,Unknown,Unknown
8,1905,4,April,4,1900s,1st Semester,Spring,2nd Quarter,3,Tuesday,06:20,6,20
9,1906,8,August,16,1900s,2nd Semester,Summer,3rd Quarter,5,Thursday,19:57,19,57
10,1906,1,January,31,1900s,1st Semester,Winter,1st Quarter,4,Wednesday,Unknown,Unknown,Unknown
11,1906,5,May,14,1900s,1st Semester,Spring,2nd Quarter,2,Monday,Unknown,Unknown,Unknown
12,1906,4,April,Unknown,1900s,1st Semester,Unknown,2nd Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
13,1906,9,September,8,1900s,2nd Semester,Summer,4th Quarter,7,Saturday,Unknown,Unknown,Unknown
14,1907,10,October,21,1900s,2nd Semester,Summer,4th Quarter,2,Monday,09:23,9,23
15,1907,Unknown,Unknown,Unknown,1900s,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
16,1908,4,April,26,1900s,1st Semester,Spring,2nd Quarter,1,Sunday,Unknown,Unknown,Unknown
17,1909,10,October,15,1900s,2nd Semester,Summer,4th Quarter,6,Friday,Unknown,Unknown,Unknown
18,1909,12,December,Unknown,1900s,2nd Semester,Unknown,4th Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
19,1909,Unknown,Unknown,Unknown,1900s,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
20,1909,6,June,11,1900s,2nd Semester,Spring,3rd Quarter,6,Friday,21:15,21,15
21,1909,11,November,12,1900s,2nd Semester,Fall,4th Quarter,6,Friday,Unknown,Unknown,Unknown
22,1910,Unknown,Unknown,Unknown,1910s,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
23,1910,3,March,5,1910s,1st Semester,Winter,2nd Quarter,7,Saturday,Unknown,Unknown,Unknown
24,1910,4,April,13,1910s,1st Semester,Spring,2nd Quarter,4,Wednesday,Unknown,Unknown,Unknown
25,1910,6,June,24,1910s,2nd Semester,Spring,3rd Quarter,6,Friday,13:36,13,36
26,1911,4,April,Unknown,1910s,1st Semester,Unknown,2nd Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
27,1911,7,July,11,1910s,2nd Semester,Spring,3rd Quarter,3,Tuesday,Unknown,Unknown,Unknown
28,1911,Unknown,Unknown,Unknown,1910s,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
29,1912,6,June,30,1910s,2nd Semester,Spring,3rd Quarter,1,Sunday,Unknown,Unknown,Unknown
30,1912,8,August,Unknown,1910s,2nd Semester,Unknown,3rd Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
31,1914,6,June,26,1910s,2nd Semester,Spring,3rd Quarter,6,Friday,03:07,3,7
32,1915,3,March,22,1910s,1st Semester,Spring,2nd Quarter,2,Monday,Unknown,Unknown,Unknown
33,1915,Unknown,Unknown,Unknown,1910s,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
34,1915,8,August,12,1910s,2nd Semester,Summer,3rd Quarter,5,Thursday,Unknown,Unknown,Unknown
35,1916,11,November,21,1910s,2nd Semester,Fall,4th Quarter,3,Tuesday,Unknown,Unknown,Unknown
36,1917,7,July,31,1910s,2nd Semester,Summer,3rd Quarter,3,Tuesday,07:00,7,0
37,1917,Unknown,Unknown,Unknown,1910s,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
38,1917,12,December,25,1910s,2nd Semester,Fall,4th Quarter,3,Tuesday,22:27,22,27
39,1917,1,January,21,1910s,1st Semester,Winter,1st Quarter,1,Sunday,07:08,7,8
40,1918,2,February,13,1910s,1st Semester,Winter,1st Quarter,4,Wednesday,14:07,14,7
41,1918,Unknown,Unknown,Unknown,1910s,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
42,1918,1,January,Unknown,1910s,1st Semester,Unknown,1st Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
43,1919,1,January,Unknown,1910s,1st Semester,Unknown,1st Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
44,1919,Unknown,Unknown,Unknown,1910s,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
45,1919,9,September,23,1910s,2nd Semester,Summer,4th Quarter,3,Tuesday,Unknown,Unknown,Unknown
46,1919,5,May,Unknown,1910s,1st Semester,Unknown,2nd Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
47,1920,12,December,16,1920s,2nd Semester,Fall,4th Quarter,5,Thursday,19:11,19,11
48,1920,Unknown,Unknown,Unknown,1920s,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
49,1920,1,January,Unknown,1920s,1st Semester,Unknown,1st Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
50,1920,8,August,Unknown,1920s,2nd Semester,Unknown,3rd Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
51,1921,1,January,Unknown,1920s,1st Semester,Unknown,1st Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
52,1922,11,November,11,1920s,2nd Semester,Fall,4th Quarter,7,Saturday,00:32,0,32
53,1922,1,January,Unknown,1920s,1st Semester,Unknown,1st Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
54,1922,4,April,19,1920s,1st Semester,Spring,2nd Quarter,4,Wednesday,Unknown,Unknown,Unknown
55,1922,9,September,30,1920s,2nd Semester,Summer,4th Quarter,7,Saturday,Unknown,Unknown,Unknown
56,1922,7,July,27,1920s,2nd Semester,Summer,3rd Quarter,5,Thursday,Unknown,Unknown,Unknown
57,1923,1,January,Unknown,1920s,1st Semester,Unknown,1st Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
58,1923,5,May,7,1920s,1st Semester,Spring,2nd Quarter,2,Monday,Unknown,Unknown,Unknown
59,1923,3,March,24,1920s,1st Semester,Spring,2nd Quarter,7,Saturday,19:46,19,46
60,1923,8,August,12,1920s,2nd Semester,Summer,3rd Quarter,1,Sunday,Unknown,Unknown,Unknown
61,1924,3,March,3,1920s,1st Semester,Winter,2nd Quarter,2,Monday,03:01,3,1
62,1924,12,December,2,1920s,2nd Semester,Fall,4th Quarter,3,Tuesday,Unknown,Unknown,Unknown
63,1924,9,September,23,1920s,2nd Semester,Summer,4th Quarter,3,Tuesday,Unknown,Unknown,Unknown
64,1924,Unknown,Unknown,Unknown,1920s,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
65,1925,3,March,16,1920s,1st Semester,Winter,2nd Quarter,2,Monday,21:48,21,48
66,1925,12,December,Unknown,1920s,2nd Semester,Unknown,4th Quarter,Unknown,Unknown,Unknown,Unknown,Unknown
67,1925,5,May,10,1920s,1st Semester,Spring,2nd Quarter,1,Sunday,Unknown,Unknown,Unknown
