EventKey,EventName,Origin,AssociatedDisaster,AssociatedDisaster2,MagnitudeValue,MagnitudeScale,OFDA_Response,Appeal,Declaration,CPI
0,Name not specified,Unknown Origin,Famine,No Disaster Associated,Unknown,Km2,No,No,No,"2,849084409"
1,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,No,No,"2,849084409"
2,Name not specified,Unknown Origin,Tsunami/Tidal wave,No Disaster Associated,8.0,Richter,No,Unknown,Unknown,"2,963047785"
3,Santa Maria,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,Unknown,Unknown,"2,963047785"
4,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,Unknown,Unknown,"3,077011162"
5,Mount Karthala,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,No,No,"3,077011162"
6,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"3,077011162"
7,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,8.0,Richter,No,Unknown,Unknown,"3,077011162"
8,Name not specified,Unknown Origin,Tsunami/Tidal wave,No Disaster Associated,8.0,Richter,No,Unknown,Unknown,"3,077011162"
9,Name not specified,Unknown Origin,Tsunami/Tidal wave,No Disaster Associated,9.0,Richter,No,No,No,"3,077011162"
10,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"3,077011162"
11,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,No,No,"3,077011162"
12,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,7.0,Richter,No,Unknown,Unknown,"3,190974538"
13,Bubonic,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Vaccinated,No,Unknown,Unknown,"3,190974538"
14,Bubonic,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Vaccinated,No,Unknown,Unknown,"3,077011162"
15,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,6.0,Richter,No,Unknown,Unknown,"3,077011162"
16,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"3,190974538"
17,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,Unknown,Unknown,"3,190974538"
18,Pneumonic,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Vaccinated,No,Unknown,Unknown,"3,190974538"
19,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Richter,No,Unknown,Unknown,"3,190974538"
20,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,6.0,Richter,No,Unknown,Unknown,"3,190974538"
21,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"3,190974538"
22,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,1294994.0,Km2,No,Unknown,Unknown,"3,190974538"
23,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"3,304937914"
24,Name not specified,Unknown Origin,Tsunami/Tidal wave,No Disaster Associated,8.0,Richter,No,Unknown,Unknown,"3,430297628"
25,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,Unknown,Unknown,"3,464486641"
26,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,3000.0,Km2,No,Unknown,Unknown,"3,464486641"
27,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"3,464486641"
28,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"3,726602407"
29,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,7.0,Richter,No,Unknown,Unknown,"4,38758999"
30,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"4,38758999"
31,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,6.0,Richter,No,Unknown,Unknown,"4,38758999"
32,Name not specified,Unknown Origin,Tsunami/Tidal wave,No Disaster Associated,7.0,Richter,No,Unknown,Unknown,"5,151144611"
33,Influenza,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Vaccinated,No,Unknown,Unknown,"5,151144611"
34,Spanish Influenza,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Vaccinated,No,Unknown,Unknown,"5,151144611"
35,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Vaccinated,No,Unknown,Unknown,"5,937491908"
36,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"5,937491908"
37,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Kph,No,Unknown,Unknown,"5,937491908"
38,Mt. Kelud,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Not Applicable,No,No,No,"5,937491908"
39,Name not specified,Unknown Origin,"Slide (land, mud, snow, rock)",Tsunami/Tidal wave,9.0,Richter,No,Unknown,Unknown,"6,860595257"
40,Name not specified,Unknown Origin,Famine,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"6,860595257"
41,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Vaccinated,No,Unknown,Unknown,"6,860595257"
42,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Km2,No,Unknown,Unknown,"6,860595257"
43,Bubonic,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Vaccinated,No,Unknown,Unknown,"6,860595257"
44,Cholera,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Vaccinated,No,Unknown,Unknown,"6,860595257"
45,Name not specified,Unknown Origin,No Disaster Associated,No Disaster Associated,Unknown,Vaccinated,No,Unknown,Unknown,"6,108436973"
46,Name not specified,Unknown Origin,Tsunami/Tidal wave,No Disaster Associated,9.0,Richter,No,Unknown,Unknown,"5,732357831"
